filename,source,source_id,source_url,photographer,width,height,license,provenance,category,alt,intended_use
stock-commercial-loading-docks-red.jpg,Unsplash,lUx-IVVbjhE,https://unsplash.com/photos/lUx-IVVbjhE,Raymond Kotewicz,2400,1600,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,Numbered loading dock doors on a red-and-white warehouse wall,/commercial-garage-door-repair/ door-type card; commercial-garage-door-maintenance hero; guide loading-dock-door-maintenance
stock-commercial-rolling-steel-black.jpg,Unsplash,7UeTi7x6DOs,https://unsplash.com/photos/7UeTi7x6DOs,Robinson Greig,1800,1198,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,Black rolling steel service door on a brick commercial building,commercial door-type card (rolling steel); guide rolling-steel-doors-explained
stock-commercial-rolling-steel-gray.jpg,Unsplash,Jbp6RxDZITU,https://unsplash.com/photos/Jbp6RxDZITU,the blowup,1800,1305,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,"Gray rolling steel door, closed, on a commercial building",guides category commercial
stock-commercial-roller-shutters-numbered.jpg,Unsplash,S0j-5wSN3YQ,https://unsplash.com/photos/S0j-5wSN3YQ,Steve A Johnson,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,"Three blue roller shutter doors numbered 7, 8 and 9",commercial door-type card (operators)
stock-commercial-sectional-door-bw.jpg,Unsplash,b57g8WTNFFU,https://unsplash.com/photos/b57g8WTNFFU,Haberdoedas,1800,1350,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,Commercial sectional overhead door on a corrugated steel building,commercial door-type card (sectional overhead)
stock-condo-parking-garage-gate.jpg,Unsplash,6JXYz4ZUwZo,https://unsplash.com/photos/6JXYz4ZUwZo,Vladimir Yelizarov,1440,1800,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,Multi-family building with a parking garage entrance door,guide condo-and-apartment-garage-door-service
stock-county-barnstable-cape-cod-lighthouse.jpg,Unsplash,UNsHcowfVBg,https://unsplash.com/photos/UNsHcowfVBg,Wei Zeng,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,county,Red-and-white lighthouse above the dunes on Cape Cod,service-areas/barnstable-county + its towns
stock-county-berkshire-autumn-house-hills.jpg,Unsplash,qdHc83bRbfQ,https://unsplash.com/photos/qdHc83bRbfQ,Nikunj Singh,1800,1352,"Unsplash License (free, commercial use, no attribution required)",stock,county,White house among autumn trees with the Berkshire hills behind,service-areas/berkshire-county + towns
stock-county-bristol-new-bedford-harbor.jpg,Unsplash,GtfPZSnSeWA,https://unsplash.com/photos/GtfPZSnSeWA,Tyson Moultrie,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,county,Working harbor with fishing boats and waterfront buildings,service-areas/bristol-county + towns
stock-county-dukes-edgartown-lighthouse.jpg,Unsplash,nyU8VpMJYeA,https://unsplash.com/photos/nyU8VpMJYeA,MV Vacation,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,county,"White lighthouse on the beach at Edgartown, Martha's Vineyard",service-areas/dukes-county + towns
